Symbol,Description,Price,Price - Currency,Target price 1 year,Target price 1 year - Currency,Analyst Rating,Technical Rating 1 week,Target price performance % 1 year,Price Change % 1 day,Oscillators Rating 1 day,Oscillators Rating 1 week,Moving Averages Rating 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Average Volume 90 days,Average Volume 60 days,Average Volume 30 days,Average Volume 10 days,Beta 1 year,Beta 3 years,Beta 5 years,Performance % All Time,Performance % 10 years,Performance % 5 years,Performance % 1 year,Performance % Year to date,Performance % 6 months,Performance % 3 months,Performance % 1 month,Performance % 1 week,Money Flow Index (14) 1 month,Money Flow Index (14) 1 week,Money Flow Index (14) 1 day,Money Flow Index (14) 2 hours,"EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Basic EPS, Annual","Basic EPS, Annual - Currency","EPS diluted, Annual","EPS diluted, Annual - Currency","EPS diluted, Quarterly","EPS diluted, Quarterly - Currency","EPS forecast, Quarterly","EPS forecast, Quarterly - Currency","Gross profit, Quarterly","Gross profit, Quarterly - Currency","Gross profit, Annual","Gross profit, Annual - Currency","Free cash flow, Quarterly","Free cash flow, Quarterly - Currency","Free cash flow, Annual","Free cash flow, Annual - Currency","Net income, Annual","Net income, Annual - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency",Market capitalization,Market capitalization - Currency,Price to book ratio,"Forward non-GAAP price to earnings, Annual",Price Change % 1 day,Price Change % 1 week,Price Change % 1 month,Simple Moving Average (3) 1 day,Simple Moving Average (20) 1 day,Simple Moving Average (30) 1 day,Simple Moving Average (50) 1 day,Simple Moving Average (75) 1 day,Simple Moving Average (100) 1 day,Exponential Moving Average (3) 1 day,Exponential Moving Average (9) 1 day,Exponential Moving Average (21) 1 day,Exponential Moving Average (50) 1 day,Exponential Moving Average (75) 1 day,Exponential Moving Average (100) 1 day
EKGYO,EMLAK KONUT GMYO,8.76,TRY,20.6,TRY,Strong buy,Sell,135.1598173515982,-1.6835016835016876,Sell,Sell,Strong sell,175567579,0.7231028197285957,32620581861,TRY,,-1.1216,TRY,-237.01441485462988,2.68238,Finance,240182604.24444443,210749525.71666667,232418787.6,232132989.5,1.1422689,1.3354497,1.2873596,386.66666666666663,215.10791366906477,703.6697247706421,15.567282321899732,26.40692640692641,14.659685863874348,-18.435754189944138,-15.930902111324377,-6.907545164718387,56.473521728705954,23.64434606347153,67.69633523505269,59.03556704961522,5033747000,TRY,-1.0709,TRY,-1.0709,TRY,-2.1347,TRY,,,4989951000,TRY,10176752000,TRY,-5217953000,TRY,5277521000,TRY,-4074314000,TRY,57230391000,TRY,32620581861,TRY,0.5563243472556253,3.7619638825700394,-1.6835016835016876,-1.0169491525423713,-1.0169491525423713,8.86333333333333,9.123,9.397666666666664,9.541599999999995,10.022,9.934000009999998,8.84529680242256,8.967050167047418,9.172737968669558,9.481400252154076,9.511953699077939,9.439009867046124
TKNSA,TEKNOSA IC VE DIS TICARET,35,TRY,74.4,TRY,Strong buy,Neutral,112.57142857142858,-1.1857651714153108,Sell,Neutral,Strong sell,1860750,0.6699418418833563,7119419632,TRY,13.773020620179443,2.5412,TRY,-16.11263328161622,0,Retail Trade,5139532.477777771,3607809.233333334,3302726.9333333313,2783611.2,0.85186654,1.331129,1.296949,562.206798479876,353.0888621178098,2647.453307031047,83.34206390780514,15.970841616964877,2.639302207583709,-22.39467505076164,-14.215684171953043,-5.405405405405405,71.05037050570697,42.83587081798949,27.521307162729983,43.98370100516664,-647025000,TRY,3.7189,TRY,3.7189,TRY,-0.4712,TRY,,,1382726000,TRY,4252413999.9999995,TRY,-1998366000,TRY,1251460000,TRY,747502000,TRY,2852581000,TRY,7119419632,TRY,2.466186817174525,5.511811023622047,-1.1857651714153108,-1.9058295964125553,-1.9058295964125553,35.14666600000003,39.55299980000003,39.84999993333337,39.86199996,42.17986661333331,40.881899989999994,35.29749969718509,36.82791254826988,38.58051600426351,39.85987621436311,39.84801816554911,39.34224869887718
OBAMS,OBA MAKARNACILIK,37.720001,TRY,78.88097100032584,TRY,Strong buy,Buy,109.12239901670691,0.9095772897384444,Neutral,Strong buy,Sell,7339545,1.1951451367408958,17920800000,TRY,,,,,0,Consumer Non-Durables,,20782744,9325885.133333333,6323278.2,0.59587264,,,-12.604260889712682,-12.604260889712682,-12.604260889712682,-12.604260889712682,-12.604260889712682,-12.604260889712682,-40.22186656804647,-9.80391917742706,4.429684508020068,,28.005613415469753,47.001811912841184,73.66848576990999,,,3.141,TRY,3.141,TRY,,,,,,,2003570342,TRY,,,1670109680,TRY,1278906301,TRY,4372318964,TRY,17920800000,TRY,3.512650570433206,9.524300252500002,0.9095772897384444,4.777780555555565,4.777780555555565,36.833334666666694,38.7909997,39.69066643333334,42.108799899999994,,,37.084661493306484,37.04917152065627,38.630701142851905,42.40607184859762,,
KRDMB,KARDEMIR (B),22.9,TRY,41.323333,TRY,Strong buy,Strong buy,80.45123580786027,-0.1743722679000763,Sell,Buy,Strong buy,1460151,0.8137333961217803,30394979839,TRY,23.82686505046301,0.9611,TRY,-75.90624216595637,0.955963,Non-Energy Minerals,2150635.222222211,1762467.133333332,1913334.4333333313,1589356.3000000238,1.0811048,1.0080669,1.019434,22271.803946014978,666.1002320045899,990.4761904761903,37.372525494901,19.39520333680917,17.43589743589743,16.243648921642176,7.511742136701503,1.1484143616790754,69.88049098384083,41.29406584118806,70.65184992010961,76.58329479000915,4814356060,TRY,2.0167,TRY,2.0167,TRY,0.048,TRY,,,1836049864,TRY,4257137128.0000005,TRY,-1946466990,TRY,-2484181580,TRY,2174336792,TRY,11697534661,TRY,30394979839,TRY,2.098693586154121,6.939774575514597,-0.1743722679000763,3.432705665433856,3.432705665433856,22.933333333333337,22.172999800000007,21.49633326666668,20.025400040000005,20.302533333333344,20.453600059999978,22.83128426439108,22.60033698775831,22.001980647958504,21.01042990251301,20.7159534969793,20.59039297345115
ISGYO,IS GMYO,16,TRY,27.05,TRY,Strong buy,Sell,69.0625,-3.6724922533117272,Sell,Neutral,Strong sell,9706003,1.1668528910087845,15924838085,TRY,4.898958971218616,3.266,TRY,-62.563044475011466,0,Finance,11756569.022222267,10164804.950000087,11306194.099999912,7831805,1.1428959,1.3474576,1.3884405,6269.769075965469,1661.3715800493842,1602.1276595744682,65.97510373443983,2.8277634961439557,-21.104540379460527,0,0,-7.834106691583718,63.53907227066828,55.792563452809354,61.21064238187118,24.03403034332237,906106240,TRY,3.266,TRY,3.266,TRY,-1.7919,TRY,,,514813309,TRY,1143061528,TRY,-895044250,TRY,-2243616570,TRY,3131266812,TRY,27033160346,TRY,15924838085,TRY,0.5674511442297666,1.0126582278481011,-3.6724922533117272,-3.846148067677165,-3.846148067677165,16.503333666666666,16.712999900000003,16.419999899999997,15.849599920000008,16.268399986666676,16.63959999000001,16.34639650462445,16.674563208550914,16.615567492615654,16.42368968654697,16.57560937031013,16.762320967164108
KRDMA,KARDEMIR (A),25.059999,TRY,41.323333,TRY,Strong buy,Buy,64.89758439335928,-0.7131576862123502,Sell,Buy,Strong buy,2035866,0.9317600563596302,30394979839,TRY,26.074288835709087,0.9611,TRY,-75.90624216595637,0.868851,Non-Energy Minerals,2396175.75555556,2273313.0000000154,2223302.0333333253,2081641.000000006,1.1079545,0.9906489,0.98532844,43617.82809960896,856.8577416705455,1087.6776777251187,38.37657435800252,22.243897560975615,17.98492937853109,21.768702623906723,12.175465532676819,-2.1093789062500004,70.39508376017204,47.95345547129606,51.71935535930734,71.08979879024088,4814356060,TRY,2.0167,TRY,2.0167,TRY,0.048,TRY,,,1836049864,TRY,4257137128.0000005,TRY,-1946466990,TRY,-2484181580,TRY,2174336792,TRY,11697534661,TRY,30394979839,TRY,2.296648872066755,7.5943556298087875,-0.7131576862123502,0.23999600000000498,0.23999600000000498,25.03999966666667,24.330999850000005,23.35566653333332,21.50719993999998,21.599999906666685,21.728399930000023,25.080439767262757,25.01026775138425,24.17386774748031,22.737452163231367,22.287009009278588,22.088920340353972
ORGE,ORGE ENERJI ELEKTRIK,62.5,TRY,99.49,TRY,Strong buy,Neutral,59.18399999999999,-2.34375,Sell,Neutral,Strong sell,808141,0.7498841501221455,5085598145,TRY,10.210916695257234,6.1209,TRY,119.50511027434104,0,Industrial Services,1712906.6777777814,1233193.049999999,1371157.399999999,1090703.2999999938,1.0021551,1.0803871,1.014101,14828.011158986903,13117.498699398127,3084.7133757961783,154.47883772307966,0,3.906895963195478,-15.081519431563029,-17.60052518392947,-0.8723219805285004,76.62335262656264,28.056465616159144,28.174640157055848,35.922410334493605,573480230,TRY,3.9053,TRY,3.9053,TRY,1.538,TRY,,,248814926,TRY,304705300,TRY,-17250060,TRY,-41851990,TRY,309625925,TRY,1018958569,TRY,5085598145,TRY,4.90697166832326,6.483402489626556,-2.34375,-0.7936507936507936,-0.7936507936507936,63.15000033333333,68.70250034999995,70.27666716666663,70.11500022000004,72.77400007999995,71.93600009999999,63.03162803704963,64.48432687134739,67.32797770660332,69.68404053850398,69.70001669360346,68.78726428700652
AKCNS,AKCANSA,134.39999,TRY,213.336,TRY,Strong buy,Sell,58.732154667571045,-0.9580029476786928,Sell,Sell,Strong sell,625378,0.7022120795506044,25979368514,TRY,10.851222781110474,12.3857,TRY,55.94208372678627,4.42659,Non-Energy Minerals,1111193.0444444444,1065866.9666666666,1044120.4333333333,857938,0.7302991,1.211275,1.2814476,105356.63589854003,918.1817424242424,2019.8736593059937,72.97296678145304,-5.5516584680253045,-6.013993006993005,-11.578953947368419,-13.065988805563464,-4.136954350927237,70.72330689096185,28.744879959024644,35.50569933936751,52.96516035670213,3934285170,TRY,12.3857,TRY,12.3857,TRY,-2.5897,TRY,,,797165195,TRY,3863676187,TRY,90434420,TRY,1577482670,TRY,2371207804,TRY,13797585926,TRY,25979368514,TRY,1.8648539932992905,5.908660888517585,-0.9580029476786928,-5.684217543859647,-5.684217543859647,135.56666666666666,145.92000000000002,147.75000033333333,145.9259991999999,150.6079990666667,155.1239994,135.9908681079948,139.85124694205626,143.76227220359155,147.29331717582897,148.96281951152017,149.42647332775496
ISDMR,ISKENDERUN DEMIR CELIK,37.740002,TRY,56.4,TRY,Strong buy,Buy,49.44355328862993,-3.1314092179519983,Sell,Buy,Sell,5002817,1.5773565293204352,112983997345,TRY,11.201140296203958,3.3693,TRY,203.48585840389117,1.28337,Non-Energy Minerals,3939051.8333333335,3381348.05,4284724.333333333,3344890.7,0.79537785,0.9286337,0.86528754,1166.4430201342282,1117.4194193548385,504.80772435897427,8.38599080987937,8.38599080987937,9.327931633835439,-1.1006236897274624,-0.5795495410840407,-4.455691139240514,76.15640174459229,44.915900621348364,67.69165107968016,59.35616636717198,12413877000,TRY,1.5867,TRY,1.5867,TRY,1.491,TRY,,,2968197000,TRY,7821485000,TRY,-2745655000,TRY,3440896000,TRY,4601547000,TRY,97413626000,TRY,112983997345,TRY,1.1235182970631041,,-3.1314092179519983,1.0171332704193452,1.0171332704193452,38.33333333333331,38.540000250000006,38.03200033333334,36.67480017999999,37.52960005333332,37.30300009999997,38.142220722414436,38.383935478642236,38.205573472666785,37.59764762712644,37.36997642555358,37.230951526594126
CIMSA,CIMSA CIMENTO,30.16,TRY,44.89,TRY,Strong buy,Sell,48.839522546419104,-1.5022893043014542,Sell,Sell,Strong sell,6587806,0.5819671257160313,28954001056,TRY,11.449396401184421,2.6342,TRY,-27.41251033342519,3.45376,Non-Energy Minerals,11934297.911111109,10091506.783333339,11041321.833333327,9811265.899999982,1.1801324,1.234901,1.2123159,3358063.2539443937,1481.4247609379695,3540.0018827595945,91.4054497916692,1.9607843137254966,-6.856086879058465,-11.346266901822466,-7.371010215878064,-8.328273049953008,67.07060808727476,32.11673908755944,60.74405253119697,24.220890499635757,3674345000,TRY,2.6342,TRY,2.6342,TRY,0.2978,TRY,,,1540001000,TRY,3805137000,TRY,-1183657000,TRY,-948313000,TRY,2490891000,TRY,23434254000,TRY,28954001056,TRY,1.536200806301683,7.42857142857143,-1.5022893043014542,-2.6468689477081995,-2.6468689477081995,30.606667333333334,32.577000850000005,32.60000046666668,32.07200040000002,33.04666692,33.12840027,30.569787192093195,31.570808654181203,32.19576563809635,32.47478948783096,32.56425660503086,32.48943340022758
