Symbol,Description,Date,Title,Sentiment
TKNSA,TEKNOSA IC VE DIS TICARET,2024-03-21 06:23:56,Teknosa FY Net Profit Rises To 747.5 Million Lira YoY,Positive
TKNSA,TEKNOSA IC VE DIS TICARET,2023-12-01 06:19:12,Teknosa Announces 2023 and 2024 Guidance,Positive
TKNSA,TEKNOSA IC VE DIS TICARET,2023-10-31 05:37:03,Teknosa Q3 Net Profit Jumps To 292.7 Mln Lira YoY,Negative
TKNSA,TEKNOSA IC VE DIS TICARET,2023-08-07 15:34:34,Teknosa Q2 Net Profit Up At 156.8 Million Lira,Negative
TKNSA,TEKNOSA IC VE DIS TICARET,2023-05-03 05:24:10,Teknosa Q1 Net Profit Up At 142.0 Million Lira,Negative
TKNSA,TEKNOSA IC VE DIS TICARET,2023-02-20 05:26:21,Teknosa FY Net Profit Jumps To 524.9 Mln Lira YoY,Negative
TKNSA,TEKNOSA IC VE DIS TICARET,2022-10-31 05:15:07,"Teknosa Q3 Net Profit Increases To 140.6 Mln Lira YoY, Revises 2022 Guidance",Negative
TKNSA,TEKNOSA IC VE DIS TICARET,2022-08-09 05:13:06,Teknosa Q2 Net Result Turns To Profit Of 133.8 Mln Lira YoY,Negative
AKCNS,AKCANSA,2024-02-27 05:38:24,Akcansa Cimento FY Net Profit Increases To 2.37 Billion Lira YoY,Positive
AKCNS,AKCANSA,2023-10-24 15:49:47,Akcansa Cimento Q3 Net Profit Rises To 1.31 Billion Lira YoY,Negative
AKCNS,AKCANSA,2023-08-07 15:50:27,Akcansa Cimento Q2 Net Profit Rises To 884.7 Million Lira,Negative
AKCNS,AKCANSA,2023-04-28 15:27:03,Akcansa Cimento Q1 Net Profit Rises To 672.2 Million Lira YoY,Negative
AKCNS,AKCANSA,2023-02-28 05:33:37,Akcansa Cimento Proposes To Pay Cash Dividend At Net 1.175 Lira Per Share,Negative
AKCNS,AKCANSA,2023-02-20 05:32:49,Akcansa Cimento FY Net Profit Jumps To 1.52 Bln Lira YoY,Negative
AKCNS,AKCANSA,2022-10-27 15:16:03,Akcansa Cimento Q3 Net Profit Jumps To 825.4 Million Lira,Negative
AKCNS,AKCANSA,2022-08-01 05:33:25,Akcansa Q2 Net Profit Rises To 230.6 Mln Lira YoY,Negative
SOKM,SOK MARKETLER TICARET,2024-04-17 05:48:12,Sok Marketler Signs Deal To Acquire Future Teknoloji At 220 Mln Lira,Negative
SOKM,SOK MARKETLER TICARET,2024-04-17 05:38:29,"Sok Marketler FY Net Profit Falls To 4.45 Bln Lira YoY, Announces 2024 Guidance and Dividend",Negative
SOKM,SOK MARKETLER TICARET,2023-11-09 16:11:00,Sok Marketler Revises 2023 EBITDA Margin Guidance To 7.0% - 7.5%,Negative
SOKM,SOK MARKETLER TICARET,2023-11-09 16:02:02,Sok Marketler Q3 Net Profit Up At 1.38 Billion Lira,Negative
SOKM,SOK MARKETLER TICARET,2023-08-17 05:37:40,Sok Marketler Q2 Net Profit Jumps To 891.5 Mln Lira YoY,Negative
SOKM,SOK MARKETLER TICARET,2023-05-09 15:40:10,Sok Marketler Ticaret As Q1 Net Profit Rises To 399.1 Million Lira YoY,Negative
SOKM,SOK MARKETLER TICARET,2023-05-04 15:39:00,Sok Marketler Ticaret Proposes To Pay Cash Dividend At Net 0.455 Lira Per Share For 2022,Negative
SOKM,SOK MARKETLER TICARET,2023-03-13 06:18:59,Sok Marketler FY Net Profit Jumps To 2.38 Bln Lira YoY,Negative
SOKM,SOK MARKETLER TICARET,2022-11-09 15:35:14,Sok Marketler Q3 Net Profit Jumps To 1.20 Billion Lira YoY,Negative
SOKM,SOK MARKETLER TICARET,2022-08-17 05:15:10,"Sok Marketler Ticaret Q2 Net Profit Increases To 352.6 Mln Lira YoY, Revises 2022 Guidance",Negative
THYAO,TURK HAVA YOLLARI,2024-05-22 15:22:24,Turkish Airlines Q1 Net Profit Rises To 6.93 Billion Lira YoY,Negative
